,Gold Formula,Generated Formula
0,"always[10,inf] ( x_0 >= 0.9475 )","always[19,inf] ( ( x_0 >= 0.9097 until[19,21] x_2 >= -0.8877 ) )"
1,"not ( always[14,19] ( eventually[7,inf] ( x_0 <= -0.7367 ) ) )","always[19,inf] ( x_0 >= -0.7977 )"
2,"( x_2 <= -0.2641 until[6,9] x_1 <= 0.7181 )",( x_1 <= 0.7071 and x_2 <= -0.2967 )
3,not ( x_0 <= 0.2762 ),not ( ( x_0 <= 0.2963 or x_0 <= 0.2963 ) )
4,"eventually[6,15] ( x_2 <= 0.54 )","eventually[1,19] ( x_2 <= 0.507 )"
5,"eventually[0,4] ( x_2 <= 1.8247 )","always[1,17] ( x_2 <= 1.8007 )"
6,"eventually[1,9] ( ( x_2 >= 0.7231 or x_2 <= 0.7229 ) )","( x_2 <= 0.6098 or always[17,20] ( x_2 <= 0.6067 ) )"
7,"( not ( ( ( eventually[3,inf] ( not ( x_1 <= 0.9504 ) ) until[19,21] ( x_1 <= 0.6022 and x_2 <= 0.055 ) ) or x_2 <= 0.2687 ) ) or ( eventually ( eventually[16,18] ( ( ( ( eventually[1,14] ( x_0 >= 0.0966 ) until[9,14] always[3,17] ( x_2 <= 0.6261 ) ) or x_2 <= 0.1992 ) until[16,20] ( x_2 >= -1.0836 and eventually[10,13] ( eventually[1,inf] ( x_0 >= -0.4595 ) ) ) ) ) ) or x_2 <= -0.5759 ) )","( x_2 >= -0.3337 or always[13,17] ( x_2 >= -0.2073 ) )"
8,"( not ( x_1 <= -0.3026 ) and ( ( x_0 >= 0.7657 until[12,inf] ( always[13,16] ( ( x_0 >= 0.1174 until[7,21] x_1 <= -0.7933 ) ) or always[17,19] ( x_1 >= -0.078 ) ) ) and x_1 <= -0.778 ) )",( ( x_1 <= -0.7077 and x_0 >= 0.7097 ) and x_1 <= -0.7777 )
9,not ( not ( x_2 >= -0.6419 ) ),not ( x_2 <= -0.6061 )
10,"( not ( always[2,19] ( x_2 <= 0.5551 ) ) until[12,18] x_0 >= 0.3501 )","( x_0 >= 0.3033 until[10,14] x_2 >= 0.6077 )"
11,( x_2 >= -0.0528 or x_0 <= -0.177 ),( x_0 <= -0.2337 or x_2 >= -0.0337 )
12,"eventually[11,inf] ( eventually[6,9] ( x_0 >= -0.6594 ) )","eventually[19,inf] ( x_0 >= -0.6977 )"
13,"always[6,9] ( ( x_0 >= 0.1484 until[18,inf] ( not ( x_1 <= 1.7558 ) and x_1 <= -1.5643 ) ) )","( ( x_1 <= -1.3077 until[17,21] x_1 >= 1.707 ) until[1,13] x_1 <= -1.0078 )"
14,not ( x_2 <= -1.952 ),"always[1,16] ( x_2 >= -1.9006 )"
15,"always[7,inf] ( x_1 <= -0.5897 )","always[19,inf] ( x_1 <= -0.5971 )"
16,"eventually[10,17] ( always[16,20] ( x_1 <= -0.8781 ) )","eventually[19,21] ( eventually[1,19] ( x_1 <= -0.8978 ) )"
17,"( x_0 <= -0.8877 until not ( always[11,18] ( x_2 >= -0.5769 ) ) )","( x_0 <= -0.9337 until[1,10] x_2 <= -0.4337 )"
18,"( x_2 >= -0.5018 until[5,21] ( x_0 >= 0.2388 until[8,10] x_0 <= 0.3368 ) )","( ( x_0 >= 0.0077 and x_0 >= 0.0097 ) until[10,14] x_2 >= -0.4077 )"
19,( x_0 <= -0.1914 and x_2 <= -0.1577 ),( x_0 <= -0.2637 and x_2 <= -0.2637 )
20,"eventually[7,17] ( x_0 <= -0.2795 )","eventually[11,17] ( x_0 <= -0.3078 )"
21,"always[13,17] ( eventually[18,21] ( ( x_2 <= 1.4207 and always[8,14] ( always[13,16] ( ( always[8,inf] ( not ( x_1 <= 0.2468 ) ) and ( ( not ( not ( x_0 >= 1.0672 ) ) or ( not ( x_1 >= 0.6248 ) until eventually[5,20] ( x_0 <= -0.0722 ) ) ) and ( x_0 <= -1.1636 and always[10,16] ( x_2 >= 0.182 ) ) ) ) ) ) ) ) )","( ( x_2 >= -0.2097 until[19,21] ( x_1 >= 0.4097 until[19,21] x_0 <= -0.977 ) ) until[19,21] x_1 >= 0.7777 )"
22,"always[18,inf] ( x_1 <= 0.133 )","always[19,inf] ( x_1 <= 0.1477 )"
23,"eventually[4,21] ( x_2 >= -0.5761 )","eventually[11,18] ( x_2 >= -0.6063 )"
24,"( ( x_1 >= 0.4506 and eventually[14,16] ( ( always[4,7] ( ( x_0 <= -0.4116 and ( not ( x_2 <= 0.0964 ) until[9,15] always[10,18] ( ( x_0 >= 0.3361 and ( ( x_0 <= -0.8666 until[13,15] x_1 >= -0.9045 ) or ( ( x_1 <= -1.1141 until[7,20] eventually[0,18] ( x_2 >= 0.6772 ) ) and eventually[7,16] ( x_1 >= -0.0444 ) ) ) ) ) ) ) ) until x_0 <= 0.7897 ) ) ) or not ( ( ( always[14,21] ( eventually[1,14] ( ( always[15,inf] ( x_1 <= -0.3826 ) until always[3,20] ( x_1 <= 1.9814 ) ) ) ) until[10,inf] x_1 <= 0.4503 ) until[5,8] x_0 <= -2.0578 ) ) )","( ( x_1 >= -0.0067 or x_0 >= -1.9067 ) or ( x_2 >= -0.0067 until[17,20] x_0 >= -1.9047 ) )"
25,"( always[16,21] ( eventually[0,3] ( eventually[11,20] ( always[1,inf] ( x_2 >= -0.3657 ) ) ) ) until ( ( x_2 >= 0.7364 and x_0 >= 1.3761 ) and x_1 >= 0.0648 ) )","( ( x_2 >= 0.2777 until[17,21] x_0 >= 1.1077 ) until[16,18] x_1 >= 0.277 )"
26,"( always[10,14] ( eventually[7,inf] ( ( x_2 <= -0.2794 and x_1 >= 0.8351 ) ) ) and x_1 <= -0.9864 )","( ( x_1 <= -0.9077 until[1,10] x_1 >= 0.7077 ) and x_1 >= -0.9077 )"
27,"always ( ( not ( x_2 <= 0.4682 ) and ( eventually[4,inf] ( x_2 <= -0.3204 ) or ( always[3,17] ( x_2 <= 0.4818 ) or ( eventually[18,20] ( eventually[0,10] ( x_0 <= -0.1556 ) ) or x_2 >= -0.4851 ) ) ) ) )","always[19,21] ( ( x_2 >= 0.4098 until[19,21] x_0 <= 1.2073 ) )"
28,not ( x_1 <= 0.8592 ),"not ( ( x_1 <= 0.8077 or ( x_0 >= -0.7077 until[1,13] x_1 <= 0.9077 ) ) )"
29,"( ( ( eventually[18,21] ( x_1 >= 1.3064 ) or ( ( x_0 <= -0.0658 until[19,21] eventually[6,20] ( x_0 >= -1.2251 ) ) or x_0 <= 0.2607 ) ) until x_1 >= 0.063 ) or x_2 <= -1.3851 )","( ( x_0 <= -0.6777 or x_1 >= 0.4077 ) until[16,18] x_2 <= -1.0077 )"
30,"always[10,13] ( x_2 <= -0.5566 )","eventually[11,17] ( x_2 <= -0.5068 )"
31,"always[11,21] ( x_1 >= -0.9938 )","always[13,17] ( x_1 >= -1.0068 )"
32,"eventually[12,21] ( x_2 <= -0.886 )","eventually[16,20] ( x_2 <= -0.8667 )"
33,"eventually[16,20] ( ( x_2 <= 0.7438 and ( x_1 >= 0.2469 or always[4,15] ( x_2 <= 1.1812 ) ) ) )","eventually[19,21] ( x_2 <= 0.7077 )"
34,( x_0 <= 0.0797 and ( x_0 <= -1.1497 until x_0 >= -1.5557 ) ),( x_0 <= -1.133 and x_1 >= -0.2967 )
