0,1,2,3,gold formula
not ( ( ( x_2 <= 0.223 or x_2 <= 0.233 ) and ( x_2 <= 0.233 or x_2 <= 0.233 ) ) ),"( ( ( x_2 >= -0.0515 or x_2 >= -0.1555 ) and ( x_2 >= 0.1155 or x_2 >= -0.1555 ) ) or ( ( x_2 >= 0.1555 until[15,26] x_2 >= -0.1555 ) and ( x_2 >= -0.1555 until[11,21] x_2 >= -0.1555 ) ) )",ot(((x_2<= 0.0336orx_2<= 0.0369)or(x_2<= 0.0337andx_2<= 0.0389))),"( x_2 >= 0.0923 until[10,13] x_2 >= 0.0923 )","eventually[3,7] ( x_2 >= 0.1458 )"
not ( ( ( x_2 >= 0.033 or x_2 >= -0.013 ) and ( x_2 >= -0.036 or x_2 >= -0.036 ) ) ),"not ( ( not ( not ( x_2 >= -0.0055 ) ) or ( ( x_2 >= -0.0555 until[1,19] x_2 >= -0.0555 ) and ( x_2 >= -0.0555 until[10,22] x_2 >= -0.0525 ) ) ) )",((x_2<= 0.1377orx_2<= 0.133)and(x_2<= 0.1337orx_2<= 0.139))or((x_2<= 0.0377andx_2<= 0.039)and(x_2<= 0.0377andx_2<= 0.039))),( x_2 <= -0.0229 or x_2 <= 0.0929 ),not ( x_2 >= 0.0301 )
( ( ( x_2 >= 0.133 or x_2 >= 0.133 ) or ( x_2 >= 0.2332 or x_2 >= 0.233 ) ) and ( ( x_2 >= 0.2332 or x_2 >= 0.2332 ) or ( x_2 >= 0.2332 or x_2 >= 0.2332 ) ) ),"( ( ( x_2 >= -0.0515 or x_2 >= -0.1155 ) or ( x_2 >= 0.1155 until[10,25] x_2 >= -0.1555 ) ) and ( ( x_2 >= -0.1555 or x_2 >= -0.1555 ) or ( x_2 >= -0.1555 until[15,26] x_2 >= -0.1555 ) ) )","ot(((x_2<= 0.0333orx_2<= 0.0369)or(x_2<= 0.0337until[12,29]x_2<= 0.0389)))","( x_2 >= 0.0923 until[16,18] x_2 >= 0.0923 )","eventually[7,13] ( x_2 >= 0.1312 )"
( ( ( x_2 <= -0.133 or x_2 <= -0.033 ) or ( x_2 <= -0.163 or x_2 <= -0.056 ) ) and ( ( x_2 <= -0.166 or x_2 <= -0.066 ) or ( x_2 <= -0.166 or x_2 <= -0.066 ) ) ),"( ( ( x_2 <= -0.0055 or x_2 <= -0.2055 ) or ( x_2 <= -0.0525 and x_2 <= -0.2055 ) ) or ( ( x_2 <= -0.2225 until[10,22] x_2 <= -0.2055 ) and ( x_2 <= -0.2225 until[12,20] x_2 <= -0.2225 ) ) )",((x_2<=-0.1337orx_2<=-0.138)and(x_2<=-0.0337orx_2<=-0.139))or((x_2<=-0.0377andx_2<=-0.039)and(x_2<=-0.0377andx_2<=-0.039))),"( x_2 <= -0.1929 or ( x_0 >= -0.9229 until[11,13] x_1 <= -0.9229 ) )","( x_2 <= -0.1971 or ( x_1 >= 0.9058 until[4,inf] always[10,21] ( x_1 <= 0.1712 ) ) )"
not ( ( ( x_2 >= -0.233 or x_2 >= -0.163 ) and ( x_2 >= -0.166 or x_2 >= -0.266 ) ) ),"not ( ( ( x_2 >= -0.2515 or x_2 >= -0.2555 ) or ( x_2 >= -0.2555 until[1,19] x_2 >= -0.2525 ) ) )",((x_2<=-0.1377orx_2<=-0.238)and(x_2<=-0.2337orx_2<=-0.299))or((x_2<=-0.2977andx_2<=-0.299)and(x_2<=-0.2977andx_2<=-0.299))),( x_2 <= -0.2929 and x_2 <= -0.2922 ),not ( x_2 >= -0.2279 )
"( ( ( x_2 >= -0.233 or x_2 >= -0.233 ) or ( x_2 >= -0.233 or x_2 >= -0.2332 ) ) until[1,28] ( ( x_2 >= -0.333 or x_2 >= -0.344 ) or ( x_2 >= -0.344 or x_2 >= -0.344 ) ) )","( ( ( ( x_2 >= -0.1555 or x_2 >= -0.2555 ) until[1,15] ( x_2 >= -0.3155 until[11,20] x_2 >= -0.3555 ) ) or ( ( x_2 >= -0.3555 until[15,25] x_2 >= -0.3555 ) or ( x_2 >= -0.3555 until[20,29] x_2 >= -0.4555 ) ) ) or ( ( ( x_2 >= -0.3555 until[25,30] x_2 >= -0.4555 ) and ( x_2 >= -0.4555 until[20,29] x_2 >= -0.2555 ) ) and ( ( x_2 >= -0.1555 until[20,29] x_2 >= -0.2555 ) or ( x_2 >= -0.1555 until[2,24] x_2 >= -0.1555 ) ) ) )","((x_2>=-0.1637orx_2>=-0.0669)and(x_2>=-0.0967orx_2>=-0.3969))or((x_2>=-0.0967andx_2>=-0.0669)until[10,19](x_2>=-0.3937orx_2>=-0.399)))","( x_2 >= -0.3922 until[19,21] x_2 >= -0.3922 )","always[14,16] ( x_2 >= -0.3599 )"
( ( ( x_1 <= -0.433 or x_2 >= -0.033 ) or ( x_1 <= -0.034 or x_2 >= -0.034 ) ) or ( ( x_1 <= -0.064 or x_2 >= -0.164 ) and ( x_1 <= -0.344 or x_2 >= -0.044 ) ) ),"( ( ( ( x_2 >= -0.0555 or x_2 >= -0.1055 ) or ( x_1 <= -0.1225 or x_2 >= -0.1055 ) ) or ( ( x_2 >= -0.1055 and x_1 <= -0.1225 ) or ( x_2 >= -0.1525 until[15,26] x_2 >= -0.0525 ) ) ) or ( ( ( x_1 <= -0.1525 until[15,25] x_2 >= -0.0525 ) or ( x_2 >= -0.1555 until[25,33] x_2 >= -0.0555 ) ) or ( ( x_2 <= -0.1555 until[25,32] x_2 >= -0.1555 ) or ( x_2 <= -0.1555 until[25,30] x_2 <= -0.1555 ) ) ) )",((x_2>=-0.0337orx_1<=-0.1397)or(x_2>=-0.0337andx_1<=-0.099))or((x_2>=-0.0337andx_1<=-0.099)and(x_2>=-0.0337orx_1<=-0.099))),( x_2 >= -0.1929 or x_1 <= -0.9229 ),"( x_2 >= -0.1318 or always[11,19] ( ( x_1 <= -0.6931 or x_1 <= -2.5727 ) ) )"
( ( ( x_1 <= 0.333 or x_2 >= 0.233 ) and ( x_1 <= 0.3332 or x_2 >= 0.233 ) ) and ( ( x_1 <= 0.3332 or x_2 >= 0.2332 ) or ( x_2 >= 0.2332 or x_2 >= 0.2332 ) ) ),"( ( ( ( x_2 >= 0.2155 or x_2 >= 0.2155 ) and ( x_2 >= 0.2155 or x_2 >= -0.1225 ) ) until[1,19] ( ( x_2 >= -0.1555 or x_2 >= -0.1555 ) and ( x_1 <= -0.1555 or x_2 >= -0.1555 ) ) ) or ( ( ( x_2 >= 0.2555 or x_2 >= 0.2555 ) until[15,23] ( x_2 >= 0.2555 until[12,20] x_2 >= -0.1555 ) ) and ( ( x_2 >= 0.2555 until[15,24] x_2 >= -0.1555 ) and ( x_2 >= -0.1555 until[1,24] x_2 >= -0.1555 ) ) ) )","((x_2>= 0.1333andx_1<= 0.0387)and(x_2>= 0.0337orx_2>= 0.1399))until[10,28]((x_1<= 0.0331orx_2>= 0.0399)or(x_2>= 0.0337andx_1<= 0.0999)))","( x_1 <= 0.7229 until[1,16] x_2 >= 0.2523 )","( x_2 >= 0.2192 until[15,21] x_1 <= 0.7733 )"
"( ( ( x_2 <= -0.566 or x_2 <= -0.566 ) or ( x_2 <= -0.566 or x_2 <= -0.666 ) ) until[1,18] ( ( x_2 <= -0.666 or x_2 <= -0.666 ) and ( x_2 <= -0.666 or x_2 <= -0.6662 ) ) )","( ( ( ( x_2 <= -0.7155 or x_2 <= -0.7155 ) or ( x_2 <= -0.7555 or x_2 <= -0.7555 ) ) until[1,19] ( ( x_2 <= -0.7555 or x_2 <= -0.7555 ) and ( x_2 <= -0.7555 or x_2 <= -0.5555 ) ) ) until[1,19] ( ( ( x_2 <= -0.5555 or x_2 <= -0.5555 ) or ( x_2 <= -0.5555 or x_2 <= -0.5555 ) ) or ( ( x_2 <= -0.5555 or x_2 <= -0.5555 ) or ( x_2 <= -0.5555 or x_2 <= -0.5555 ) ) ) )","(((x_2<=-0.5677andx_2<=-0.589)and(x_2<=-0.5837orx_2<=-0.299))or((x_2<=-0.5967andx_2<=-0.399)and(x_2<=-0.6977andx_2<=-0.699)))until[1,19](((x_2<=-0.6967orx_2<=-0.699)and(x_2<=-0.6937andx_2<=-0.699))or((x_2<=-0.6977andx_2<=-0.699)and(x_2<=-0.6977andx_2<=-0.699))))","( x_2 <= -0.6922 until[19,21] x_2 <= -0.7922 )","( x_0 >= -1.9759 until[13,16] not ( x_2 >= -0.6923 ) )"
"( ( ( x_2 >= -0.6632 or x_2 >= -0.663 ) or ( x_2 >= -0.066 or x_2 >= -0.064 ) ) until[15,27] ( ( x_2 >= -0.066 or x_2 >= -0.0642 ) or ( x_2 >= -0.066 or x_2 >= -0.064 ) ) )","( ( ( ( x_2 >= -0.5555 until[2,20] x_2 >= -0.7555 ) or ( x_2 >= -0.7555 or x_2 >= -0.7555 ) ) or ( ( x_2 >= -0.5555 until[2,20] x_2 >= -0.5555 ) until[2,20] ( x_2 >= -0.5555 or x_2 >= -0.4555 ) ) ) or ( ( ( x_2 >= -0.5555 until[25,30] x_2 >= -0.5555 ) and ( x_2 >= -0.5555 until[20,29] x_2 >= -0.4555 ) ) until[1,10] ( ( x_2 >= -0.5555 or x_2 >= -0.4555 ) or ( x_2 >= -0.4555 until[2,24] x_2 >= -0.4555 ) ) ) )","((x_2>=-0.7137andx_2>=-0.6669)or(x_2>=-0.6637until[10,19]x_2>=-0.6969))until[10,19]((x_2>=-0.7937orx_2>=-0.6999)or(x_2>=-0.6937andx_2>=-0.699)))","always[18,20] ( x_2 >= -0.7922 )","always[16,18] ( x_2 >= -0.7517 )"
