0,gold formula
x_0<= 1.0214orx_0<= 1.0277),( x_0 <= 1.4633 or x_0 <= 0.5746 )
"x_0>= 1.1214until[14,32]x_0>= 1.0277)","eventually[14,21] ( x_0 >= 1.7708 )"
x_0<= 1.0214orx_0<= 1.0277),not ( x_0 >= 1.3914 )
"lways[24,34](always[15,34](x_0<= 0.0227))","always[8,inf] ( x_0 <= 0.288 )"
"lways[15,28](x_0<= 1.0277)","always[18,33] ( x_0 <= 0.956 )"
x_0>=-0.6694andx_0>=-0.6777),( x_0 >= -0.6341 and x_0 <= 0.7004 )
x_0>=-0.1214orx_0>=-0.2227),not ( x_0 <= -0.0046 )
x_0<= 0.2254orx_0<= 0.2227),not ( x_0 >= 0.1714 )
x_0<= 1.0214orx_0<= 1.0277),not ( x_0 >= 1.5358 )
x_0<= 0.1254orx_0<=-0.2224),( x_0 <= -0.7917 or x_0 <= 0.0925 )
"ventually[24,34](eventually[15,29](x_0<=-0.0227))",eventually ( x_0 <= -0.3458 )
x_0>= 0.1214orx_0>=-0.2227),( x_0 >= 0.1364 and x_0 >= -0.1995 )
x_0<= 1.0214orx_0<= 0.7777),not ( x_0 >= 1.2236 )
"x_0<=-0.2254until[24,34]x_0<=-0.5287)","always[2,23] ( x_0 <= -0.3866 )"
x_0<= 0.2254orx_0<= 0.2227),"( x_0 <= 0.2782 until[8,22] x_0 <= 0.1995 )"
"ventually[24,34](x_0>=-0.4777)","eventually[15,17] ( x_0 >= -0.5763 )"
"ventually[24,34](x_0>=-0.7777)","always[26,31] ( x_0 >= -0.9436 )"
"x_0>= 0.7894until[14,32]x_0>= 1.0287)",( x_0 >= 1.0085 and x_0 <= 0.2278 )
"x_0<=-1.0254until[24,34]x_0<=-0.7277)","( x_0 <= 0.842 until[18,25] x_0 <= -1.2267 )"
x_0<=-1.0254andx_0<=-0.7277),( x_0 <= -1.3846 and x_0 <= 0.0143 )
"x_0>= 1.1214until[24,34]x_0>= 1.0277)","eventually[16,32] ( x_0 >= 1.6009 )"
x_0>=-0.6777orx_0>=-0.7777),not ( x_0 <= -0.7223 )
"x_0>= 0.2894until[14,29]x_0>= 0.2877)",( x_0 >= 0.5753 and x_0 <= 0.2647 )
x_0<= 0.7577orx_0<= 0.7777),not ( x_0 >= 0.5363 )
"ventually[24,34](x_0>=-0.6777)","eventually[29,31] ( x_0 >= -0.8136 )"
"x_0>= 0.289until[14,32]x_0>=-0.2887)","( x_0 <= -0.3088 until[31,33] x_0 >= 0.7632 )"
x_0>=-0.1214orx_0>=-0.2227),( x_0 >= -0.0635 or x_0 >= 0.7483 )
x_0>=-0.2874orx_0>=-0.5777),( x_0 >= -0.5904 or x_0 >= -0.3852 )
x_0<= 1.0214orx_0<= 1.0277),( x_0 <= 1.3471 or x_0 <= -0.8458 )
"x_0>=-0.6894until[14,32]x_0>=-1.0228)","( x_0 <= -1.0519 until[27,30] x_0 >= 0.9445 )"
x_0<=-1.0254andx_0<=-0.7777),( x_0 <= -1.2701 and x_0 <= -1.2746 )
"ventually[24,32]((x_0>=-0.1274orx_0>=-0.2277))",eventually ( x_0 >= 0.3064 )
(x_0>=-0.7777orx_0>=-1.2277)or(x_0>=-0.2777orx_0>=-0.2777)),"eventually[25,31] ( x_0 >= -1.5328 )"
"lways[24,34]((x_0<= 0.7777orx_0<= 1.2277))","eventually[3,inf] ( x_0 <= 0.7631 )"
(x_0>=-0.6777orx_0>=-0.2777)or(x_0>=-0.2877orx_0>=-0.2877)),( x_0 >= -0.6442 or x_0 <= -1.4335 )
"ventually[22,29](x_0>= 0.0227)","always[23,32] ( x_0 >= 0.2058 )"
x_0>=-1.0274orx_0>=-0.7777),not ( x_0 <= -1.2153 )
"(x_0>= 0.3274orx_0>= 0.2877)until[22,34](x_1>= 0.2877orx_0>= 0.2877))",eventually ( x_0 >= 0.6907 )
(x_0>=-0.7777orx_0>=-1.0277)or(x_0>=-0.2777orx_0>=-0.2777)),"eventually[0,14] ( x_0 >= -1.4039 )"
"x_0>=-0.0244until[14,32]x_0>=-0.2287)",( x_0 <= 0.055 and x_0 >= -0.6572 )
"ventually[15,29](x_0<= 0.0224)","always[2,33] ( x_0 <= 0.2524 )"
"x_0>= 0.7774until[14,32]x_0>= 0.7777)",( x_0 >= 0.6008 and x_0 <= 2.208 )
"(x_0<=-1.0277until[24,34]x_0<=-0.7287)until[24,32](x_0<=-0.7777orx_0<=-1.2222))","( x_0 <= 0.5504 until[23,inf] x_0 <= -1.9597 )"
"ventually[15,34](x_0>=-0.7777)","( x_0 >= -1.3341 until[1,inf] x_0 >= -0.7269 )"
"x_0<=-0.6294until[15,29]x_0<=-0.7287)",( x_0 >= -2.2663 and x_0 <= -0.4165 )
x_0<=-0.1254orx_0<=-0.2222),( x_0 <= 0.2825 until x_0 <= -0.0952 )
"(x_0>= 1.1214until[24,34]x_0>= 1.0287)and(x_1>= 0.2811until[22,34]x_0>= 1.282))","always[29,34] ( x_0 >= 1.9201 )"
x_0<=-0.2254andx_0<=-0.2827),not ( x_0 >= -0.3877 )
x_0>=-1.0274orx_0>=-0.7777),( x_0 >= -1.3593 or x_0 >= 1.4266 )
x_0<= 1.0214orx_0<= 1.0277),( x_0 <= -0.5159 or x_0 <= 1.5017 )
"x_0>=-0.1244until[14,32]x_0>=-0.2287)",( x_0 >= -0.7718 and x_0 <= -0.1189 )
x_0<=-1.0254andx_0<=-0.7277),( x_0 <= 1.6946 and x_0 <= -1.0732 )
x_0>= 0.1214orx_0>= 0.2277),( x_0 >= 0.6139 or x_0 >= 0.2274 )
x_0>=-0.7777orx_0>=-1.0277),( x_0 <= -2.7474 or x_0 >= -1.0911 )
"ventually[24,34](x_0>=-0.6777)","always[20,35] ( x_0 >= -0.8515 )"
x_0<= 1.0254orx_0<= 0.7777),( x_0 <= 0.9137 or x_0 <= 0.9602 )
x_0<= 0.5554orx_0<= 0.5287),not ( x_0 >= 0.45 )
x_0<=-0.2254andx_0<=-0.2227),"eventually[4,8] ( x_0 <= -0.3361 )"
"ventually[24,32](x_0<=-0.0224)","( x_0 <= 1.0742 until[22,inf] x_0 <= -0.1271 )"
x_0<= 0.2254orx_0<= 0.2227),( x_0 <= 0.269 or x_0 <= -0.5056 )
"ventually[22,29](x_0>=-0.0224)","eventually[21,36] ( x_0 >= 0.0436 )"
"ventually[15,29](x_0>=-0.0227)","always[4,20] ( x_0 >= -0.3163 )"
(x_0<=-1.0274orx_0<=-0.7277)or(x_1<=-0.7777orx_1<=-0.7777)),( x_0 >= 2.1357 or x_0 <= -0.9517 )
